year,state,district,h_writein,h_special,h_runoff,h_winner,h_party,h_winVotes,h_totalVotes,h_runnerUp,h_ruParty,h_ruVotes,h_rawMargin,h_decMargin,p_winner,p_party,p_winVotes,p_totalVotes,p_runnerUp,p_ruParty,p_ruVotes,p_rawMargin,p_decMargin,s_writein,s_winner,s_party,s_winVotes,s_totalVotes,s_runnerUp,s_ruParty,s_ruVotes,s_rawMargin,s_decMargin
2018,Alabama,1,0.0,0.0,,Bradley Byrne,republican,153228.0,242617.0,Robert Kennedy Jr.,democrat,89226.0,64002.0,0.2637984972198981,,,,,,,,,,,,,,,,,,,
2018,Alabama,1,0.0,0.0,,Bradley Byrne,republican,153228.0,242617.0,Robert Kennedy Jr.,democrat,89226.0,64002.0,0.2637984972198981,,,,,,,,,,,,,,,,,,,
2018,Alabama,2,0.0,0.0,,Martha Roby,republican,138879.0,226230.0,Tabitha Isner,democrat,86931.0,51948.0,0.2296247182071343,,,,,,,,,,,,,,,,,,,
2018,Alabama,2,0.0,0.0,,Martha Roby,republican,138879.0,226230.0,Tabitha Isner,democrat,86931.0,51948.0,0.2296247182071343,,,,,,,,,,,,,,,,,,,
2018,Alabama,3,0.0,0.0,,Mike Rogers,republican,147770.0,231915.0,Mallory Hagan,democrat,83996.0,63774.0,0.2749886811978527,,,,,,,,,,,,,,,,,,,
2018,Alabama,3,0.0,0.0,,Mike Rogers,republican,147770.0,231915.0,Mallory Hagan,democrat,83996.0,63774.0,0.2749886811978527,,,,,,,,,,,,,,,,,,,
2018,Alabama,4,0.0,0.0,,Robert Aderholt,republican,184255.0,230969.0,Lee Auman,democrat,46492.0,137763.0,0.5964566673449684,,,,,,,,,,,,,,,,,,,
2018,Alabama,4,0.0,0.0,,Robert Aderholt,republican,184255.0,230969.0,Lee Auman,democrat,46492.0,137763.0,0.5964566673449684,,,,,,,,,,,,,,,,,,,
2018,Alabama,5,0.0,0.0,,Mo Brooks,republican,159063.0,260673.0,Peter Joffrion,democrat,101388.0,57675.0,0.22125421505104093,,,,,,,,,,,,,,,,,,,
2018,Alabama,5,0.0,0.0,,Mo Brooks,republican,159063.0,260673.0,Peter Joffrion,democrat,101388.0,57675.0,0.22125421505104093,,,,,,,,,,,,,,,,,,,
2018,Alabama,6,0.0,0.0,,Gary Palmer,republican,192542.0,278328.0,Danner Kline,democrat,85644.0,106898.0,0.38407203012273294,,,,,,,,,,,,,,,,,,,
2018,Alabama,6,0.0,0.0,,Gary Palmer,republican,192542.0,278328.0,Danner Kline,democrat,85644.0,106898.0,0.38407203012273294,,,,,,,,,,,,,,,,,,,
2018,Alabama,7,0.0,0.0,,Terri Sewell,democrat,185010.0,189163.0,,,4153.0,180857.0,0.9560907788521013,,,,,,,,,,,,,,,,,,,
2018,Alabama,7,0.0,0.0,,Terri Sewell,democrat,185010.0,189163.0,,,4153.0,180857.0,0.9560907788521013,,,,,,,,,,,,,,,,,,,
2018,Alaska,0,0.0,0.0,,Don Young,republican,149779.0,282166.0,Alyse S. Galvin,democrat,131199.0,18580.0,0.06584776337333342,,,,,,,,,,,,,,,,,,,
2018,Alaska,0,0.0,0.0,,Don Young,republican,149779.0,282166.0,Alyse S. Galvin,democrat,131199.0,18580.0,0.06584776337333342,,,,,,,,,,,,,,,,,,,
2018,Arizona,1,0.0,0.0,,Tom O'Halleran,democrat,143240.0,266089.0,Wendy Rogers,republican,122784.0,20456.0,0.07687653379132553,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
