year,state,district,writein,special,runoff,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2000,Alabama,1,False,False,False,Sonny Callahan,republican,151188,165669.0,Dick Coffee,libertarian,14031,137157,0.8278977962081017
2000,Alabama,1,False,False,False,Sonny Callahan,republican,151188,165669.0,Dick Coffee,libertarian,14031,137157,0.8278977962081017
2002,Alabama,1,False,False,False,Jo Bonner,republican,108102,178687.0,Judy McCain Belk,democrat,67507,40595,0.22718496589007592
2002,Alabama,1,False,False,False,Jo Bonner,republican,108102,178687.0,Judy McCain Belk,democrat,67507,40595,0.22718496589007592
2004,Alabama,1,False,False,False,Jo Bonner,republican,161067,255164.0,Judy Belk,democrat,93938,67129,0.2630817826966187
2004,Alabama,1,False,False,False,Jo Bonner,republican,161067,255164.0,Judy Belk,democrat,93938,67129,0.2630817826966187
2006,Alabama,1,False,False,False,Jo Bonner,republican,112944,165841.0,Vivian Sheffield Beckerle,democrat,52770,60174,0.36284151687459676
2006,Alabama,1,False,False,False,Jo Bonner,republican,112944,165841.0,Vivian Sheffield Beckerle,democrat,52770,60174,0.36284151687459676
2008,Alabama,1,False,False,,Jo Bonner,republican,210660,214367.0,,,3707,206953,0.9654144527842439
2008,Alabama,1,False,False,,Jo Bonner,republican,210660,214367.0,,,3707,206953,0.9654144527842439
2010,Alabama,1,False,False,,Jo Bonner,republican,129063,156281.0,David Walter,constitution,26357,102706,0.6571880138980426
2010,Alabama,1,False,False,,Jo Bonner,republican,129063,156281.0,David Walter,constitution,26357,102706,0.6571880138980426
2012,Alabama,1,False,False,,Jo Bonner,republican,196374,200676.0,,,4302,192072,0.9571249177779106
2012,Alabama,1,False,False,,Jo Bonner,republican,196374,200676.0,,,4302,192072,0.9571249177779106
2014,Alabama,1,False,False,,Bradley Byrne,republican,103758,152234.0,Burton R. LeFlore,democrat,48278,55480,0.364438955818017
2014,Alabama,1,False,False,,Bradley Byrne,republican,103758,152234.0,Burton R. LeFlore,democrat,48278,55480,0.364438955818017
2016,Alabama,1,False,False,,Bradley Byrne,republican,208083,215893.0,,,7810,200273,0.9276493448143293
2016,Alabama,1,False,False,,Bradley Byrne,republican,208083,215893.0,,,7810,200273,0.9276493448143293
2018,Alabama,1,False,False,,Bradley Byrne,republican,153228,242617.0,Robert Kennedy Jr.,democrat,89226,64002,0.26379849721989806
2018,Alabama,1,False,False,,Bradley Byrne,republican,153228,242617.0,Robert Kennedy Jr.,democrat,89226,64002,0.26379849721989806
2000,Alabama,2,False,False,False,Terry Everett,republican,151830,222636.0,Charles Woods,democrat,64958,86872,0.39019745234373593
2000,Alabama,2,False,False,False,Terry Everett,republican,151830,222636.0,Charles Woods,democrat,64958,86872,0.39019745234373593
2002,Alabama,2,False,False,False,Terry Everett,republican,129233,187965.0,Charles Woods,democrat,55495,73738,0.39229643816668003
2002,Alabama,2,False,False,False,Terry Everett,republican,129233,187965.0,Charles Woods,democrat,55495,73738,0.39229643816668003
2004,Alabama,2,False,False,False,Terry Everett,republican,177086,247947.0,Charles D. (Chuck) James,democrat,70562,106524,0.4296240728865443
2004,Alabama,2,False,False,False,Terry Everett,republican,177086,247947.0,Charles D. (Chuck) James,democrat,70562,106524,0.4296240728865443
2006,Alabama,2,False,False,False,Terry Everett,republican,124302,178919.0,Charles (Chuck) Dean James,democrat,54450,69852,0.39041130343898633
2006,Alabama,2,False,False,False,Terry Everett,republican,124302,178919.0,Charles (Chuck) Dean James,democrat,54450,69852,0.39041130343898633
2008,Alabama,2,False,False,,Bobby Bright,democrat,144368,287394.0,Jay Love,republican,142578,1790,0.006228383334377197
2008,Alabama,2,False,False,,Bobby Bright,democrat,144368,287394.0,Jay Love,republican,142578,1790,0.006228383334377197
2010,Alabama,2,False,False,,Martha Roby,republican,111645,219028.0,Bobby Bright,democrat,106865,4780,0.021823693774312036
2010,Alabama,2,False,False,,Martha Roby,republican,111645,219028.0,Bobby Bright,democrat,106865,4780,0.021823693774312036
2012,Alabama,2,False,False,,Martha Roby,republican,180591,283953.0,Therese Ford,democrat,103092,77499,0.2729289706395073
2012,Alabama,2,False,False,,Martha Roby,republican,180591,283953.0,Therese Ford,democrat,103092,77499,0.2729289706395073
2014,Alabama,2,False,False,,Martha Roby,republican,113103,167952.0,Erick Wright,democrat,54692,58411,0.3477838906354196
2014,Alabama,2,False,False,,Martha Roby,republican,113103,167952.0,Erick Wright,democrat,54692,58411,0.3477838906354196
2016,Alabama,2,False,False,,Martha Roby,republican,134886,276584.0,Nathan Mathis,democrat,112089,22797,0.08242342290226479
2016,Alabama,2,False,False,,Martha Roby,republican,134886,276584.0,Nathan Mathis,democrat,112089,22797,0.08242342290226479
2018,Alabama,2,False,False,,Martha Roby,republican,138879,226230.0,Tabitha Isner,democrat,86931,51948,0.22962471820713432
2018,Alabama,2,False,False,,Martha Roby,republican,138879,226230.0,Tabitha Isner,democrat,86931,51948,0.22962471820713432
2000,Alabama,3,False,False,False,Bob Riley,republican,147317,169519.0,John Sophocleus,libertarian,21119,126198,0.7444475250561884
2000,Alabama,3,False,False,False,Bob Riley,republican,147317,169519.0,John Sophocleus,libertarian,21119,126198,0.7444475250561884
2002,Alabama,3,False,False,False,Mike Rogers,republican,91169,181223.0,Joe Turnham,democrat,87351,3818,0.021067965986657333
2002,Alabama,3,False,False,False,Mike Rogers,republican,91169,181223.0,Joe Turnham,democrat,87351,3818,0.021067965986657333
2004,Alabama,3,False,False,False,Mike Rogers,republican,150411,245784.0,Bill Fuller,democrat,95240,55171,0.22446945285291153
2004,Alabama,3,False,False,False,Mike Rogers,republican,150411,245784.0,Bill Fuller,democrat,95240,55171,0.22446945285291153
2006,Alabama,3,False,False,False,Mike Rogers,republican,98257,165301.0,Greg A. Pierce,democrat,63559,34698,0.20990798603759198
2006,Alabama,3,False,False,False,Mike Rogers,republican,98257,165301.0,Greg A. Pierce,democrat,63559,34698,0.20990798603759198
2008,Alabama,3,False,False,,Mike Rogers,republican,142708,264120.0,Joshua Segall,democrat,121080,21628,0.0818870210510374
2008,Alabama,3,False,False,,Mike Rogers,republican,142708,264120.0,Joshua Segall,democrat,121080,21628,0.0818870210510374
2010,Alabama,3,False,False,,Mike Rogers,republican,117736,198139.0,Steve Segrest,democrat,80204,37532,0.18942257707972687
2010,Alabama,3,False,False,,Mike Rogers,republican,117736,198139.0,Steve Segrest,democrat,80204,37532,0.18942257707972687
