year,state,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2000,Alabama,"Bush, George W.",republican,941173,1666272,"Gore, Al",democrat,692611,248562,0.1491725240536959
2000,Alabama,"Bush, George W.",republican,941173,1666272,"Gore, Al",democrat,692611,248562,0.1491725240536959
2004,Alabama,"Bush, George W.",republican,1176394,1883415,"Kerry, John",democrat,693933,482461,0.256162874353236
2004,Alabama,"Bush, George W.",republican,1176394,1883415,"Kerry, John",democrat,693933,482461,0.256162874353236
2008,Alabama,"McCain, John",republican,1266546,2099819,"Obama, Barack H.",democrat,813479,453067,0.2157647873459569
2008,Alabama,"McCain, John",republican,1266546,2099819,"Obama, Barack H.",democrat,813479,453067,0.2157647873459569
2012,Alabama,"Romney, Mitt",republican,1255925,2074338,"Obama, Barack H.",democrat,795696,460229,0.22186789231070347
2012,Alabama,"Romney, Mitt",republican,1255925,2074338,"Obama, Barack H.",democrat,795696,460229,0.22186789231070347
2016,Alabama,"Trump, Donald J.",republican,1318255,2123372,"Clinton, Hillary",democrat,729547,588708,0.27725146606435425
2016,Alabama,"Trump, Donald J.",republican,1318255,2123372,"Clinton, Hillary",democrat,729547,588708,0.27725146606435425
2000,Alaska,"Bush, George W.",republican,167398,285560,"Gore, Al",democrat,79004,88394,0.3095461549236588
2000,Alaska,"Bush, George W.",republican,167398,285560,"Gore, Al",democrat,79004,88394,0.3095461549236588
2004,Alaska,"Bush, George W.",republican,190889,312598,"Kerry, John",democrat,111025,79864,0.2554846800043506
2004,Alaska,"Bush, George W.",republican,190889,312598,"Kerry, John",democrat,111025,79864,0.2554846800043506
2008,Alaska,"McCain, John",republican,193841,326197,"Obama, Barack H.",democrat,123594,70247,0.21535145939416983
2008,Alaska,"McCain, John",republican,193841,326197,"Obama, Barack H.",democrat,123594,70247,0.21535145939416983
2012,Alaska,"Romney, Mitt",republican,164676,300495,"Obama, Barack H.",democrat,122640,42036,0.13988918284830032
2012,Alaska,"Romney, Mitt",republican,164676,300495,"Obama, Barack H.",democrat,122640,42036,0.13988918284830032
2016,Alaska,"Trump, Donald J.",republican,163387,318608,"Clinton, Hillary",democrat,116454,46933,0.14730640787425298
2016,Alaska,"Trump, Donald J.",republican,163387,318608,"Clinton, Hillary",democrat,116454,46933,0.14730640787425298
2000,Arizona,"Bush, George W.",republican,781652,1532016,"Gore, Al",democrat,685341,96311,0.06286553143048113
2000,Arizona,"Bush, George W.",republican,781652,1532016,"Gore, Al",democrat,685341,96311,0.06286553143048113
2004,Arizona,"Bush, George W.",republican,1104294,2012585,"Kerry, John",democrat,893524,210770,0.10472601157218203
2004,Arizona,"Bush, George W.",republican,1104294,2012585,"Kerry, John",democrat,893524,210770,0.10472601157218203
2008,Arizona,"McCain, John",republican,1230111,2293475,"Obama, Barack H.",democrat,1034707,195404,0.08519996947862962
2008,Arizona,"McCain, John",republican,1230111,2293475,"Obama, Barack H.",democrat,1034707,195404,0.08519996947862962
2012,Arizona,"Romney, Mitt",republican,1233654,2299254,"Obama, Barack H.",democrat,1025232,208422,0.09064766224175319
2012,Arizona,"Romney, Mitt",republican,1233654,2299254,"Obama, Barack H.",democrat,1025232,208422,0.09064766224175319
2016,Arizona,"Trump, Donald J.",republican,1252401,2573165,"Clinton, Hillary",democrat,1161167,91234,0.035455946276278405
2016,Arizona,"Trump, Donald J.",republican,1252401,2573165,"Clinton, Hillary",democrat,1161167,91234,0.035455946276278405
