year,state,writein,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2002,Alabama,False,Jeff Sessions,republican,792561,1353023,Susan Parker,democrat,538878,253683,0.18749348680695
2002,Alabama,False,Jeff Sessions,republican,792561,1353023,Susan Parker,democrat,538878,253683,0.18749348680695
2004,Alabama,False,Richard C. Shelby,republican,1242200,1839066,Wayne Sowell,democrat,595018,647182,0.3519079793764878
2004,Alabama,False,Richard C. Shelby,republican,1242200,1839066,Wayne Sowell,democrat,595018,647182,0.3519079793764878
2008,Alabama,False,Jeff Sessions,republican,1305383,2060191,Vivian Davis Figures,democrat,752391,552992,0.2684178311622563
2008,Alabama,False,Jeff Sessions,republican,1305383,2060191,Vivian Davis Figures,democrat,752391,552992,0.2684178311622563
2010,Alabama,False,Richard C. Shelby,republican,968181,1485499,William G. Barnes,democrat,515619,452562,0.30465318387962564
2010,Alabama,False,Richard C. Shelby,republican,968181,1485499,William G. Barnes,democrat,515619,452562,0.30465318387962564
2014,Alabama,False,Jeff Sessions,republican,795606,818090,,,22484,773122,0.9450329425857791
2014,Alabama,False,Jeff Sessions,republican,795606,818090,,,22484,773122,0.9450329425857791
2016,Alabama,False,Richard C. Shelby,republican,1335104,2087444,Ron Crumpton,democrat,748709,586395,0.2809153203630852
2016,Alabama,False,Richard C. Shelby,republican,1335104,2087444,Ron Crumpton,democrat,748709,586395,0.2809153203630852
2002,Alaska,False,Ted Stevens,republican,179438,229548,Frank Vondersaar,democrat,24133,155305,0.6765687350793734
2002,Alaska,False,Ted Stevens,republican,179438,229548,Frank Vondersaar,democrat,24133,155305,0.6765687350793734
2004,Alaska,False,Lisa Murkowski,republican,149773,308315,Tony Knowles,democrat,140424,9349,0.030322884063376743
2004,Alaska,False,Lisa Murkowski,republican,149773,308315,Tony Knowles,democrat,140424,9349,0.030322884063376743
2008,Alaska,False,Mark Begich,democrat,151767,317723,Ted Stevens,republican,147814,3953,0.012441655152444109
2008,Alaska,False,Mark Begich,democrat,151767,317723,Ted Stevens,republican,147814,3953,0.012441655152444109
2010,Alaska,True,Lisa Murkowski,,101091,255503,Joe Miller,republican,90839,10252,0.04012477348602561
2010,Alaska,True,Lisa Murkowski,,101091,255503,Joe Miller,republican,90839,10252,0.04012477348602561
2014,Alaska,False,Dan Sullivan,republican,135445,282400,Mark Begich,democrat,129431,6014,0.021296033994334274
